Wavelength (nm),Power (W)
349.989,9.2585769737e-08
359.994,1.0484227385000002e-07
369.997,1.217514439840001e-07
379.995,1.4794146395e-07
389.991,1.9415651770399992e-07
399.982,2.4661467114100003e-07
409.97,3.0156356926e-07
420.034,3.636324262899998e-07
430.014,3.926245150400001e-07
439.989,4.5077216665999984e-07
449.961,5.198139180700004e-07
460.008,5.873930221500001e-07
469.972,6.444436951400002e-07
480.01,7.0972655234e-07
489.964,7.657705845099997e-07
499.993,8.208644920100001e-07
510.018,8.681842842900006e-07
520.037,9.112206438700003e-07
529.972,9.531176322999997e-07
539.982,9.746014956399994e-07
549.986,9.941268259300002e-07
559.985,1.0307141434400003e-06
569.979,1.0339137179700004e-06
579.967,1.03698273824e-06
590.029,1.0442667798900004e-06
600.006,1.0399530688999992e-06
609.977,1.00632318769e-06
620.021,9.624611149500005e-07
629.981,9.3806016001e-07
640.013,9.166326208600006e-07
650.039,8.909301549999999e-07
659.98,8.519441260799997e-07
669.994,8.011867429899998e-07
680.001,7.516118197200002e-07
689.983,8.768731231300005e-07
699.979,8.924629523400001e-07
709.968,8.961455599900001e-07
720.029,8.844997803000005e-07
730.004,8.628678225099996e-07
739.972,8.396059157099994e-07
750.011,8.154415823599999e-07
